19,10,-1,727,13926,3256,1365,6756,9788
13,6,-1,220,1990,2412,359,2455,1808
15,6,0,335,4079,3725,618,3198,4323
12,3,-1,152,1324,3240,375,1741,2600
11,3,1,126,136,3551,305,1793,1715
15,3,1,30,2712,2939,0,0,5681
13,5,1,268,2708,3735,520,3187,3004
13,6,0,409,4135,5039,702,5200,3681
15,10,1,988,12073,4392,1331,12247,3875
6,10,1,254,3726,767,0,4747,0
11,1,2,217,586,541,0,1344,0
19,1,-1,195,3611,687,346,1687,2460
15,6,-1,158,2030,1981,296,1631,2242
10,3,0,129,131,3347,291,1930,1386
9,7,0,199,910,2365,270,3204,0
21,10,-1,1618,7247,8795,1340,0,16320
21,1,-1,680,1912,1807,1320,0,3079
16,4,-1,31,2049,1897,0,0,3977
13,4,0,313,3470,5680,752,3643,5068
18,6,-1,44,2499,1327,0,0,3870
17,6,-1,42,2455,1547,297,0,3747
10,6,-1,91,289,1411,135,1352,304
15,8,-1,222,2631,1886,383,2462,1894
10,10,-1,1377,4019,4082,0,9478,0
16,10,-1,1114,14253,5272,1569,12528,6542
18,10,-2,437,6771,1925,681,4117,4335
15,5,-1,87,2001,2114,1293,332,2577
14,6,-1,170,2012,2241,354,2021,2048
6,8,-1,46,522,225,0,793,0
10,7,0,224,873,3020,329,3430,358
19,2,1,26,2395,1121,0,0,3542
14,1,1,306,3217,1138,328,3649,684
10,1,1,246,1275,1039,0,2560,0
19,3,1,29,2431,1137,0,0,3597
20,6,1,25,4637,914,0,0,5576
13,8,1,349,3168,2382,445,4069,1385
12,4,0,366,3073,5893,702,4313,4317
17,6,0,85,4443,2814,566,0,6776
21,7,-1,208,695,2678,0,0,3581
18,1,-1,197,3767,895,383,2217,2259
16,3,0,27,4198,3581,0,0,7806
8,10,0,778,8072,3251,0,12101,0
13,7,0,476,4642,4581,719,5948,3032
20,10,-1,736,33875,4089,11620,3013,24067
18,10,-1,918,14670,4044,1517,8871,9244
6,10,-1,204,2876,600,0,3680,0
19,4,-1,25,2432,1060,0,0,3517
12,10,0,2708,24114,10649,2898,34573,0
19,7,0,68,4282,1578,0,0,5928
15,4,0,59,3941,4301,650,0,7651
12,2,0,116,2608,6131,2794,711,5350
20,7,-1,48,6811,1106,0,0,7965
13,10,-1,1592,15689,7000,1895,20517,1869
19,8,-2,29,1372,457,138,0,1720
13,4,-1,140,1700,2833,357,1755,2561
14,3,0,57,3593,5161,669,0,8142
20,2,-1,14,5986,1157,0,0,7157
16,3,-1,27,2132,1953,0,0,4112
20,9,-1,60,6936,1001,603,0,7394
5,4,2,57,165,279,0,501,0
7,10,2,194,2195,628,0,3017,0
7,8,0,202,1352,774,0,2328,0
18,10,0,1182,18722,5010,1863,11518,11533
13,9,0,637,5510,3422,726,7310,1533
9,9,0,510,1488,1548,0,3546,0
8,10,1,537,5419,2158,0,8114,0
16,1,1,216,2942,880,319,2481,1238
12,10,1,1572,13616,5823,1611,19400,0
18,7,1,39,2331,1090,276,0,3184
18,10,1,546,9073,2425,955,5604,5485
7,7,1,255,781,761,0,1797,0
13,2,1,37,2302,4512,524,0,6327
15,8,1,263,3008,1865,445,2743,1948
18,1,1,146,2307,528,232,1412,1337
11,4,2,58,127,1576,124,1001,636
17,1,1,193,2582,667,265,1889,1288
4,2,2,18,59,139,9,207,0
13,10,1,1399,13807,5705,1560,17716,1635
12,3,1,223,2018,4350,515,2537,3539
8,6,1,166,713,1820,214,2485,0
15,1,0,461,5815,2024,648,5808,1844
20,6,0,67,9082,1710,0,0,10859
15,1,-1,325,3857,1391,451,3848,1274
19,9,-1,135,2925,850,1144,290,2476
18,2,-1,24,2489,1413,0,0,3926
16,7,-1,162,2570,1861,345,1791,2457
10,2,0,113,28,3477,252,1725,1641
17,1,-1,265,3817,1099,398,2753,2030
17,3,-1,23,2362,1606,0,0,3991
19,7,-1,47,2943,1096,0,0,4086
18,5,-1,27,2548,1303,0,0,3878
20,1,-2,116,3877,374,340,1301,2726
19,10,-3,121,2904,651,298,1304,2074
7,4,-2,25,90,317,30,371,31
9,10,-2,335,2096,1233,0,3664,0
6,6,-2,42,141,132,0,315,0
14,3,-2,12,838,1231,149,0,1932
11,7,-1,120,498,1726,182,1777,385
20,10,-2,321,14654,1781,4852,1256,10648
18,9,-3,41,617,213,68,313,490
15,7,-3,45,521,427,76,413,504
12,8,-3,64,504,471,99,782,158
14,10,-3,297,2974,1456,402,3480,845
15,2,-2,7,923,1058,0,0,1988
19,1,-3,31,748,162,61,342,538
17,5,0,73,4296,2917,0,0,7286
13,7,-1,264,2596,2559,443,3352,1624
7,7,0,339,985,997,0,2321,0
19,3,-1,23,2433,1147,0,0,3603
21,2,-1,86,15,3105,0,0,3206
10,6,0,203,548,2932,273,2821,589
17,9,0,292,4778,1983,550,3161,3342
20,9,0,110,8574,1369,801,0,9252
13,1,0,673,6446,2541,748,8224,688
17,8,0,291,4454,2240,500,2719,3766
18,6,0,53,4433,2211,0,0,6697
19,3,0,40,4201,1916,0,0,6157
18,6,1,45,2655,1270,0,0,3970
17,7,0,225,4235,2567,2161,538,4328
9,10,1,839,5365,3137,0,9341,0
15,1,1,251,3234,993,342,3125,1011
15,2,1,24,2659,2963,0,0,5646
18,4,0,50,4300,2344,0,0,6694
21,10,-2,745,3051,3850,552,0,7094
15,10,-2,613,6910,2862,813,7012,2560
16,9,-2,123,1301,647,155,1087,829
20,8,-2,23,3272,501,0,0,3796
6,9,-2,20,268,106,0,394,0
20,4,0,50,8869,1812,0,0,10731
13,10,0,2660,25094,10761,2924,32617,2974
17,10,-1,1073,15092,4817,1596,11068,8318
12,7,0,504,4481,4687,757,6733,2182
15,3,0,38,3865,4381,0,0,8284
16,9,0,385,5084,2380,570,4278,3001
19,6,0,62,4434,1828,0,0,6324
14,10,0,2397,23633,9762,2791,27396,5605
5,10,0,219,4109,553,0,4881,0
11,1,0,702,2106,2074,0,4882,0
21,2,0,125,22,4679,0,0,4826
18,8,0,183,4375,1814,1905,517,3950
12,7,-1,300,2423,2684,428,3701,1278
16,9,-1,234,2942,1401,350,2455,1772
21,7,-2,103,383,1287,0,0,1773
