20,3,-3,0,0,1445
11,4,-2,78,500,383
12,5,-2,153,1105,892
10,4,-1,144,1071,575
7,10,-1,0,4859,0
9,10,-1,0,7860,0
9,4,0,229,2126,687
12,6,1,458,4243,2124
19,7,1,0,0,3076
16,7,1,350,1774,2340
12,4,-1,355,2194,2166
17,5,-1,0,0,4094
21,9,-2,0,0,1695
5,2,-1,40,408,25
8,1,1,0,2002,0
19,10,0,1648,8723,12380
13,6,1,528,3772,2546
15,5,1,1791,426,3371
14,2,-1,0,0,4347
13,1,-1,454,5319,443
14,5,-1,341,1681,2465
11,9,-1,184,2239,0
6,3,-1,51,558,64
8,1,-1,0,1536,0
18,2,0,0,0,6564
12,1,0,696,8856,0
21,8,-1,0,0,3642
5,10,-1,0,2501,0
20,5,-2,0,0,3334
7,6,-1,0,987,0
16,8,-1,343,2046,2084
11,8,-3,37,382,42
21,2,-3,0,0,601
17,4,-4,0,0,365
12,10,-4,199,1942,0
12,9,-4,40,374,42
14,5,-4,40,129,221
8,3,0,192,1580,556
10,3,1,273,1961,1317
8,5,1,210,2329,212
13,1,2,177,2049,172
9,7,1,199,2438,0
7,5,2,71,835,0
21,10,2,259,0,3294
17,1,0,499,3751,2658
10,7,1,246,2384,223
8,2,1,194,1789,841
18,3,1,0,0,3909
21,6,1,0,0,2460
14,5,2,212,1117,1511
12,6,3,103,845,397
18,8,2,527,114,959
10,1,3,0,577,0
13,4,3,106,591,718
17,9,-2,165,955,1035
4,4,-2,0,113,0
13,7,-2,213,1455,881
15,9,-1,353,2907,1533
9,5,-1,128,1051,208
13,10,-3,403,4120,396
12,7,-2,210,1622,618
10,9,-3,0,381,0
11,10,-2,0,5048,0
5,5,-1,0,455,0
12,10,-2,889,10322,0
15,3,-4,0,0,379
15,4,-3,66,0,740
13,8,-3,99,738,278
15,4,1,425,0,5320
10,5,2,108,1085,330
12,4,2,243,1519,1395
20,9,2,190,0,2080
21,1,1,539,0,1252
10,10,2,0,4826,0
18,1,2,98,668,610
9,4,1,221,2233,710
7,4,2,62,795,68
18,5,2,0,0,1904
14,2,3,0,0,1240
15,10,2,599,5764,1846
13,2,2,253,0,2855
19,5,3,0,0,731
13,7,3,83,763,363
8,6,4,12,227,0
13,6,5,9,145,69
13,5,5,15,89,96
6,9,5,0,39,0
12,10,5,37,611,0
20,10,5,167,47,301
13,10,4,139,1607,127
21,6,0,0,0,4745
20,3,0,0,0,10684
9,1,0,0,3636,0
12,9,1,457,4969,432
17,8,-1,320,1752,2476
17,1,-2,185,1290,913
8,6,-1,95,1043,0
14,5,0,657,3324,4752
12,1,1,419,4808,0
9,10,2,0,4273,0
18,7,2,133,0,1416
10,1,2,0,1227,0
9,3,-1,108,882,462
10,4,0,311,2190,1022
19,6,1,0,0,3586
